序号,题名,作者,关键词,摘要,DOI,CN,作者单位,刊名,ISSN,页码,核心类型,中图分类号
11,基于大模型的智能信息分析工作模式研究,"卢小宾, 张周文韬, 霍朝光","智能信息分析, 信息分析工作模式, 信息分析方法, 大模型, 管理决策","在新一轮科技革命与产业变革浪潮中,大模型作为数智时代新的基础设施,正深刻重塑信息、知识生产与价值创造的逻辑.信息分析作为信息资源管理下对技术和方法格外倚重的一个二级学科,迫切需要在新的技术基础上革新工作模式.本文在梳理大模型机理及发展现状的基础上,系统分析了大模型对现有信息分析工作模式的重大影响,强调大模型视域下智能信息分析流程的转变,构建了基于大模型提示词工程、大模型微调、大模型继续预训练和大模型领域预训练增强四种智能信息分析工作模式,阐述了各模式的运行机理、适用的信息分析任务场景,以及具体的智能信息分析技术路线.作为首篇关于大模型驱动智能信息分析的理论研究,本文革新了传统的信息分析方法论体系,打造了新的基于大模型的四种智能信息分析工作模式,为我国信息分析、情报分析以及管理决策等提供了新的方法论.",10.3772/j.issn.1000-0135.2026.01.001,11-2257/G3,中国人民大学," 情报学报,Journal of the China Society for Scientific andTechnical Information,2026,45(1)",1000-0135,1-18,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G203(信息与传播理论);F269.24(产业经济);TP311.52(计算技术、计算机技术)
12,科学知识输入对发明价值的影响效应研究——基于反事实框架的因果推断,"欧桂燕, 吴江, 岳名亮, 王凯利","科学知识, 发明价值, PSM匹配, GPSM匹配, 反事实框架","科学知识被广泛视为创新过程中的""发明地图"",其与发明价值之间的关系一直是科技政策与创新管理领域的核心议题.然而,已有研究主要聚焦于二者的相关性分析,研究结论不尽一致,难以为科技决策提供确切的参考依据.本文基于反事实框架,运用倾向得分匹配(PSM)与广义倾向得分匹配(GPSM)方法,以美国专利商标局USPTO 2001-2010年授权的1,685,970件发明专利及其与科学论文构成的6,473,214个专利-论文引用对为研究样本,构建专利科学引用H指数(PSH)作为量化科学知识输入强度的代理指标,系统考察了科学知识输入及其强度对发明价值的因果效应.研究结果表明:(1)科学知识输入对专利的前向引用、技术通用性和专利转让均具有显著的正向因果效应;(2)科学知识输入强度与专利前向引用、专利转让次数均存在非线性关系,随着PSH指数的递增,专利的前向引用和转让次数表现出""先上升-后下降-再上升""的波动趋势,而低强度与高强度区间的发明专利则都具有更高的技术影响力和市场交易潜力;(3)高强度的科学知识输入是形成通用性技术的重要驱动力.本研究从因果推断视角验证了科学知识对发明价值的影响效应,并结合H指数提出了评估科学知识输入强度的新方法,为科技政策优化提供了重要的实证依据.",10.3969/j.issn.1003-2053.2026.02.007,11-1805/G3,"武汉大学, 中国科学院武汉文献情报中心, 华中师范大学"," 科学学研究,Studies in Science of Science,2026,44(2)",1003-2053,291-304,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G203(信息与传播理论)
13,科学传播的仪式观及其理论进路的构建,"朱励瑶, 金兼斌","科学传播, 仪式观, 科学传播的仪式观, 科学传播仪式观的理论进路","基于近年来科学传播领域在传递观取向之外的理论发展,将仪式观引入科学传播理论体系,明确了""科学传播的仪式观""这一概念内涵,即仪式观视角下的科学传播可被视作多元参与者围绕传播内容中的科学对象进行经验共享,并在此基础上进行意义共建的过程.同时,从多个维度对科学传播的仪式观和科学传播的传递观进行了全面比较.在此基础上,依次沿着个体内水平、个体间/群体内水平及群际水平,系统性地构建起科学传播仪式观的理论进路.科学传播的仪式观与科学传播的传递观互为补充,它能够为弥合科学传播参与者间的隔阂、缓解科学与非科学间的文化冲突等提供全新的理论视角.与此同时,科学传播仪式观的理论进路能够为未来的科学传播研究和实践提供系统且具体的路径指引.",10.3969/j.issn.1003-2053.2026.04.007,11-1805/G3,清华大学," 科学学研究,Studies in Science of Science,2026,44(4)",1003-2053,"731-738,779","CSTPCD, 北大核心, CSSCI, CSCD, AMI",G206(信息与传播理论)
14,DeepSeek类生成式人工智能的新型数据安全风险治理,"宗绍昊, 罗世龙","DeepSeek, ChatGPT, 生成式人工智能, 数据安全风险, 数据治理","生成式人工智能的数据安全风险治理是当前面临的重要问题.现有生成式人工智能的数据安全治理体系未能针对不同的数据安全风险建立起有效的类型化治理机制,与迭代至DeepSeek类生成式人工智能的现实状况相脱节.DeepSeek系列模型具有多头潜在注意力机制、混合专家模型、纯强化学习等新技术特征,导致原有数据安全风险量变或异化,由此产生运行逻辑各异的新型数据泄露安全风险、数据偏离安全风险和数据删除安全风险.针对数据泄露安全风险,应分别形成技术层面和管理层面的预防机制;针对数据偏离安全风险,应强调不同于人工监督微调模式的数据输入和输出的两端微调并创设数据输出结果的算法解释权;针对数据删除安全风险,应从数据绝对删除转向数据相对删除并实行动态核验机制.",10.3969/j.issn.1003-2053.2026.04.003,11-1805/G3,武汉大学," 科学学研究,Studies in Science of Science,2026,44(4)",1003-2053,690-700,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G301(科学研究理论);G203(信息与传播理论);D91(法学各部门)
15,从数据到智能:计算传播学的前沿演进与学术框架,"朱孟潇, 葛宗婷, 纪娇娇","计算传播学, 智能传播, 计算社会科学, 学科交叉","在平台化社会与多模态内容兴起的背景下,传播过程日益由算法所中介,数字踪迹的规模与细粒度数据持续扩展.以2009年与2020年""计算社会科学""系列倡议为学术源起,开放科学与可检验证据逐渐成为领域共识.文章在此基础上,沿""传播主体—内容—平台/算法—受众—效果""的研究路径,系统界定计算传播学的研究对象与核心问题域,并从计算传播视阈出发探析人工智能在5W模型中的具体应用.文章进一步梳理了国际范围内由学会与研究中心推动的计算传播学制度化进展,以及国内学术共同体的快速发展态势;结合政府治理、新闻业与应急管理等典型场景,提出可评估的应用路径,并围绕""可比、可复现、可核查""的研究底线,主张将规范与伦理前置为""研究的基础设施"",具体包括建设""数据+算力""安全空间、构建平台行为观测台、搭建开放评测与复现实验服务体系,并配套跨学科课程与组织机制.总体而言,智能时代的计算传播学应实现从""可演示的技术""向""可验证的证据""转型,逐步构建支撑国家治理与行业实践的高质量证据生产机制.",10.3724/j.issn.1000-3045.20251128009,11-1806/N,"中国科学技术大学 人文与社会科学学院 科技传播系 合肥 230026;认知智能全国重点实验室 合肥 230026;科学教育与传播安徽省哲学社会科学重点实验室 合肥 230026, 中国科学技术大学 人文与社会科学学院 科技传播系 合肥 230026, 中国科学技术大学 人文与社会科学学院 科技传播系 合肥 230026;科学教育与传播安徽省哲学社会科学重点实验室 合肥 230026"," 中国科学院院刊,Bulletin of Chinese Academy of Sciences,2026,41(3)",1000-3045,454-467,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G201(信息与传播理论);R245(中医临床学);F270(企业经济)
16,基于语义相似性的引用贡献归属:揭示直接引用中的隐性被引来源,"杨思洛, 吴丽娟, 吴碧瑶","引用贡献, 间接引用, 语义相似性, 全文本引文分析, 学术评价","为精准识别直接引用中未被标注的隐性贡献与隐性被引文献,本文构建基于引用标记与语义相似性的引用贡献归属方法,探讨将隐性贡献纳入学术评价的必要性,为科研贡献归因提供新视角.以CL-SciSumm 2017数据集作为实证对象,先采用两类引用贡献归属方法测算焦点文献的显性贡献,再将剩余贡献界定为其参考文献的隐性贡献,并按平等原则与语义相似性分配权重;以传统直接引用评价、引文级联评价作为对照,比较隐性被引文献的贡献得分差异.结果显示,焦点文献的参考文献对其引证文献存在隐性贡献;基于语义相似性的归属方法对隐性被引来源识别更全面,但识别精度仍需提升;本文方法与传统方法所得贡献得分差异显著,隐性贡献应被纳入文献学术贡献评价体系.",10.3772/j.issn.1000-0135.2026.03.001,11-2257/G3,武汉大学," 情报学报,Journal of the China Society for Scientific andTechnical Information,2026,45(3)",1000-0135,319-331,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G203(信息与传播理论);G35(科学、科学研究);D925.1(中国法律)
17,算法权力的国际治理:理论因应与模式探索,吴颖,"算法权力, 国际治理, 权力异化","算法权力的全球扩张使对其进行国际治理迫在眉睫.本研究通过分析算法权力国际治理的必要性,提出国际社会对算法采取的相关治理措施.然而权力无界扩张、垄断格局难以改变、权力异化等问题依然是算法国际治理的困境.算法治理需明确数据收集原则和算法伦理;成立联动监督机制,打造多方协作治理伙伴关系;明确场景化的算法透明性等级,加强人工智能算法可解释性研究;积极参与算法标准设定,加强本土法律保障等方式开展算法权力国际治理.",10.3969/j.issn.1003-2053.2025.10.009,11-1805/G3,浙江工商大学未来传播学院(筹)," 科学学研究,Studies in Science of Science,2025,43(10)",1003-2053,2100-2108,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G206.3(信息与传播理论)
18,善治促善智:人工智能异化的可信治理,顾男飞,"人工智能异化, 可信发展, 生命周期监管, 技术治理, 监管科技","完善人工智能可信治理体系不仅是促进技术创新之必需,也是全面回应技术异化并助推新质生产力发展的法治保障.不可控但是快速迭代的人工智能在应用中引发严重信任危机,乃至会威胁社会稳定和国家安全.为兼顾发展与安全目标,应凝聚起""可信发展""这一治理共识,并遵循生命周期和技术治理理论,提升治理的灵活性和有效性.一方面,健全事前、事中以及事后的法律合规指引框架,在降低监管成本同时提升监管威慑性;另一方面,需创新技术治理体系,引入私有云计算、监督微调以及 SAGE分析等监管科技,健全人机协作框架,以全面落实数据、算法以及内容可信监管要求.由此健全人工智能安全监管制度,防范异化风险并营造""互利共生""人机关系.",10.3969/j.issn.1003-2053.2025.12.001,11-1805/G3,上海交通大学," 科学学研究,Studies in Science of Science,2025,43(12)",1003-2053,2465-2472,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G203(信息与传播理论);DF41(经济法)
19,数智技术赋能金融发展的进展及研究前沿,"陈卓, 孙鑫宇, 郑晓龙, 张兴伟, 田轩, 杨晓光","数智技术, 金融发展, 大语言模型, 研究进展与前沿","以大数据、人工智能、区块链和云计算为代表的数智技术正加速融入全球金融体系,不仅显著提升了金融服务效率与个性化水平,也重塑了金融机构的业务流程与运行逻辑,并为实现风险可控、精准施策与穿透式监管提供了关键支撑.在加快建设金融强国的战略背景下,如何充分发挥数智技术对金融高质量发展的赋能作用,已引发政府部门、市场机构和学术界的广泛关注.本文围绕货币、中央银行、金融机构与市场、国际金融中心与金融监管五类核心金融要素,系统性地梳理和总结数智技术支持相关领域的重要文献和前沿进展.基于此,本文提出一个包含""数据驱动—算法赋能—生态重构""三种机制的分析框架,根据技术部署过程中所面临的安全性、复杂性等问题与挑战,凝练了数智技术促进金融发展的潜在研究方向和落实路径.本文还分析了大语言模型在金融场景应用、行业标准制定与智能体架构创新等方面的独特机遇与广阔前景.",10.3724/BNSFC-2025.04.20.0001,11-1730/N,"清华大学, 中国科学院自动化研究所"," 中国科学基金,Bulletin of National Natural Science Foundation of China,2025,39(4)",1000-8217,615-634,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G206(信息与传播理论);F831(金融、银行);D63(国家行政管理)
20,带符号在线社交网络中净正面交互信息量最大化问题研究,"戴佳伶, 朱建明, 王国庆, 黄钧","带符号在线社交网络, 正面信息交互量, 影响力最大化","在线社交网络已经融入了人们的生活,网络已经成为了传播信息的理想平台,然而商家的推荐信息的传播效果却不佳.因此,研究信息发布策略,让正面信息得到更好的宣传具有重大意义.本文通过最大化用户之间净正面交互信息量,研究带符号在线社交网络中节点选择策略.给定带符号在线社交网络G=(V,E,X,P,C),任意一条边e∈E上有其传播符号x∈X、传播概率p∈P,和信息量交互强度c∈C.在线社交网络中净正面信息量最大化问题就是从节点集V中选取包含k个节点的种子集S与其赋值函数F:S→{+,-},使得传播结束时网络中的正面信息量减去负面信息量的差值最大.首先,证明了该问题是NP-困难的,其目标函数的计算是#P-困难的.其次,证明了由于信息的组合效应,导致该问题既不是次模的也不是超模的.然后,根据传播特性提出了传播路径的构造方法和路径收益的近似计算方法,从而将问题构造为单调次模的正面信息量函数的求解.再次,设计了一种高效的最大覆盖贪婪算法来解决带符号网络中净正面信息量最大化问题.最后,在真实网络中进行实验,验证了所提出的算法优于其他方法,发现了传播人数与传播效果并不对等这一现象.",10.16381/j.cnki.issn1003-207x.2022.0173,11-2835/G3,中国科学院大学," 中国管理科学,Chinese Journal of Management Science,2025,33(3)",1003-207X,139-150,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G203(信息与传播理论)
21,易引发网络舆情的科学谣言叙事构型探究,"胡兵, 陈可琳","谣言, 科普, 叙事, 舆情, 定性比较分析(QCA)","社交媒体迅速发展,成为人们获取信息的重要阵地,一些偏离事实的科学谣言也不断滋生,甚至引发社会舆情,不仅危害互联网科普生态,还破坏民心稳定.研究采集社交媒体上2019-2023年传播的代表性科学谣言266条作为研究样本,首先基于叙事学中的叙事对象、叙事修辞、叙事方式以及叙事目的对样本进行内容分析.然后,采用定性比较分析(QCA)方法探究形成舆情现象的科学谣言叙事特征组合,归纳总结出5种具有解释力和典型性的叙事构型:构型一,针对特殊人群进行提醒;构型二,利用光环效应围绕热点事件引发公众的抵触情绪;构型三,基于相关事件运用科学证据提供可行的方式方法;构型四,通过科学证据提醒用途或拒绝使用日常生活物品;构型五,借用官方背书告知物品新用途或生活妙招.最后,研究对比内容分析和QCA分析结果发现了 3条深层次的结论:(1)科学谣言中无论使用中立还是恐惧或善意的叙事修辞对引发舆情并不起关键作用;(2)逻辑推理对科学谣言的发酵不起作用;(3)针对特定人群的科学谣言最易引发舆情.同时针对性地对这些发现提出辟谣和治理建议.整个研究从叙事特征出发,了解科学谣言对舆情具有影响力的内在原因,以期为早期识别、及时澄清、持续防范科学谣言带来启发.",10.3969/j.issn.1003-2053.2025.08.017,11-1805/G3,华南理工大学," 科学学研究,Studies in Science of Science,2025,43(8)",1003-2053,1739-1747,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G20(信息与传播理论)
22,空间、势能与场景:一个非物质文化遗产国际传播的解释框架,"涂晓晗, 陈波","空间, 势能, 场景, 非物质文化遗产, 国际传播","全球化背景下,非物质文化遗产国际传播对于推动文明交流互鉴、维护文化多样性、构建人类命运共同体具有重要意义.为解释非遗国际传播的动态过程,探讨其语境、动力与效果问题,提出基于""空间—势能—场景""的探索性分析框架.其中,空间是非遗国际传播的环境基础,决定其内容与边界.势能由空间所孕育,是非遗国际传播的必要条件,影响着不同文化的相对位置和流动的整体趋势.场景则是非遗国际传播的重要实践模式,能够有效实现文化的转译与扩散.以李子柒YouTube非遗系列短视频为例,理论驱动的编码结果表明,其国际传播经历了空间建构、势能生成、场景表达的递进过程,进一步验证了该框架的阐释力.",10.3724/1005-0566.20251107,11-3036/G3,"武汉大学, 武汉大学"," 中国软科学,China Soft Science,2025(11)",1002-9753,87-98,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G206(信息与传播理论)
23,教师社会线索对视频学习的影响,"王福兴, 乔沛桦, 匡子翌","视频学习, 社会线索, 教师形象, 眼神注视, 手势","当前,基于多媒体的视频学习成为一种重要的学习形式.其中一个重要问题是:视频中是否需要呈现教师形象?教师的社会线索能否影响学习体验和学习效果?基于近期的实证研究,总结了教师的眼神注视、手势、面部表情和语音四种社会线索对视频学习的影响.结果发现,教师的眼神注视(直接注视、引导注视)能够引导注意、降低认知负荷、提高准社会交往,促进视频学习;手势(象征性手势、隐喻性手势和指示性手势)可以引导注意、降低认知负荷,改善视频学习;积极的面部表情和语调能提高准社会交往和积极情绪,促进视频学习.同时,教师应使用第一人称和第二人称的表达来增强学习者的参与感,并尽量用标准的口音.",10.16719/j.cnki.1671-6981.20250212,31-1582/B,陕西师范大学," 心理科学,Journal of Psychological Science,2025,48(2)",1671-6981,393-405,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G206(信息与传播理论);G434(电化教育);B842.6(心理过程与心理状态)
